"latasal","lonasal","asal","iata","lattujuan","lontujuan","tujuan","tanggal"
-7.92655,112.7145,"Malang","MLG",-6.12556,106.6558,"Jakarta",2024-02-17
-7.92655,112.7145,"Malang","MLG",-6.2666,106.891098,"Jakarta",2024-02-17
-7.92655,112.7145,"Malang","MLG",-6.2666,106.891098,"Jakarta",2024-02-17
-7.92655,112.7145,"Malang","MLG",-6.12556,106.6558,"Jakarta",2024-02-17
-7.92655,112.7145,"Malang","MLG",-6.12556,106.6558,"Jakarta",2024-02-17
-7.92655,112.7145,"Malang","MLG",-6.2666,106.891098,"Jakarta",2024-02-17
-7.92655,112.7145,"Malang","MLG",-6.2666,106.891098,"Jakarta",2024-02-17
-7.92655,112.7145,"Malang","MLG",-6.12556,106.6558,"Jakarta",2024-02-17
-8.31,114.340279,"Blimbingsari","BWX",-6.12556,106.6558,"Jakarta",2024-02-17
-8.31,114.340279,"Blimbingsari","BWX",-8.74816,115.167099,"Denpasar",2024-02-17
-8.31,114.340279,"Blimbingsari","BWX",-6.12556,106.6558,"Jakarta",2024-02-17
-8.31,114.340279,"Blimbingsari","BWX",-6.12556,106.6558,"Jakarta",2024-02-17
-8.31,114.340279,"Blimbingsari","BWX",-6.12556,106.6558,"Jakarta",2024-02-17
-7.37983,112.786797,"Surabaya","SUB",2.745578,101.7099,"Kuala Lumpur",2024-02-17
-7.37983,112.786797,"Surabaya","SUB",-6.12556,106.6558,"Jakarta",2024-02-17
-7.37983,112.786797,"Surabaya","SUB",-6.2666,106.891098,"Jakarta",2024-02-17
-7.37983,112.786797,"Surabaya","SUB",-7.78818,110.431702,"Yogyakarta",2024-02-17
-7.37983,112.786797,"Surabaya","SUB",-3.44235,114.762497,"Banjarmasin",2024-02-17
-7.37983,112.786797,"Surabaya","SUB",-6.12556,106.6558,"Jakarta",2024-02-17
-7.37983,112.786797,"Surabaya","SUB",-1.26827,116.894402,"Balikpapan",2024-02-17
-7.37983,112.786797,"Surabaya","SUB",-6.2666,106.891098,"Jakarta",2024-02-17
-7.37983,112.786797,"Surabaya","SUB",1.641308,103.669601,"Johor Bahru",2024-02-17
-7.37983,112.786797,"Surabaya","SUB",-6.2666,106.891098,"Jakarta",2024-02-17
-7.37983,112.786797,"Surabaya","SUB",-3.44235,114.762497,"Banjarmasin",2024-02-17
-7.37983,112.786797,"Surabaya","SUB",-5.06381,119.556488,"Makassar",2024-02-17
-7.37983,112.786797,"Surabaya","SUB",2.745578,101.7099,"Kuala Lumpur",2024-02-17
-7.37983,112.786797,"Surabaya","SUB",-8.757322,116.276672,"Lombok",2024-02-17
-7.37983,112.786797,"Surabaya","SUB",-6.12556,106.6558,"Jakarta",2024-02-17
-7.37983,112.786797,"Surabaya","SUB",-1.26827,116.894402,"Balikpapan",2024-02-17
-7.37983,112.786797,"Surabaya","SUB",-6.12556,106.6558,"Jakarta",2024-02-17
-7.37983,112.786797,"Surabaya","SUB",2.155278,117.43222,"Kalimarau",2024-02-17
-7.37983,112.786797,"Surabaya","SUB",-6.12556,106.6558,"Jakarta",2024-02-17
-7.37983,112.786797,"Surabaya","SUB",-5.06381,119.556488,"Makassar",2024-02-17
-7.37983,112.786797,"Surabaya","SUB",3.326694,117.565498,"Tarakan",2024-02-17
